0	total	21.000%
1	['acm_gost', 'city', u'full']	4.000%	гостиницы санкт-петербурга	3
2	['acm_hotel', 'city', u'full']	1.000%	серпухов отель	2
3	['acm_gost', 'city', u'full', 'price']	1.000%	гостиницы в люберцах и цены	2
4	['acm_gost', 'city', u'full', 'price_cheap']	1.000%	выборг гостиницы недорого	2
5	['acm_hotel', 'acm_hotel_popular', u'full']	0.000%	отель бристоль	1
6	['acm_gost_popular', 'acm_hotel', 'city', 'contacts_site', u'full']	0.000%	отель азимут санкт-петербург официальный сайт	1
7	['acm_gost', 'city', u'full', 'poi_airport', 'poi_metro', 'poi_metro_station', 'space_near']	0.000%	гостиницы возле метро аэропорт москва	2
8	['acm_hotel', 'action2book', 'city', u'full']	0.000%	бронь отель адлер	1
9	['acm_hotel', u'full', 'geo_oblast', 'poi_metro_station']	0.000%	отель на тверской	1
10	['acm_gost', 'city', u'full', 'poi_avenue', 'poi_metro_station_spb', 'price_cheap']	0.000%	гостиницы в питере на невском проспекте недорого	1
11	['acm_hotel', 'city', u'full', 'poi_metro_station']	0.000%	отели в кузьминках москва	1
12	['acm_hotel', 'city', 'country', u'full']	0.000%	греция кассандра отели	1
13	['acm_gost', 'city', 'country', u'full']	0.000%	гостиница казахстан алматы	1
14	['acm_gost', u'full', 'peninsula', 'price', 'price_cheap']	0.000%	дешевые гостиницы в крыму цены	1
15	['action_reach', 'city', u'full', 'poi_airport', 'poi_station', 'wh_how']	0.000%	как добраться от курского вокзала до внуково	1
16	['acm_obj', 'city', 'contacts_site', 'date_year', u'full', 'price']	0.000%	пансионат репино официальный сайт цены на 2015 год	1
17	['city', u'full', 'poi_metro_station_spb']	0.000%	гостиный двор кохма	1
18	['acm_hotel', 'city', u'full', 'poi_avenue']	0.000%	отели питера московский проспект	1
19	['acm_gost', 'acm_gost_popular', 'city', 'contacts_site', u'full']	0.000%	корстон гостиница казань официальный сайт	1
20	['acm_gost', 'acm_gost_popular', u'full']	0.000%	гостиница корстон	1
21	['acm_gost', 'city', 'contacts_site', u'full']	0.000%	гостиницы углича официальный сайт	1
22	['acm_hotel', 'amn_beach', 'city', u'full']	0.000%	отели дубая с собственным пляжем	1
23	['acm_gost_popular', 'city', u'full']	0.000%	ялта интурист	1
24	['acm_hotel', 'city', u'full', 'poi_centre']	0.000%	отели гродно в центре	1
25	['acm_gost', 'acm_gost_popular', 'city', 'contacts_site', u'full', 'price']	0.000%	гостиница русь санкт-петербург официальный сайт цены	1
26	['acm_gost', 'city', u'full', 'photo', 'price']	0.000%	гостиницы в махачкале цены и фото	1
27	['acm_gost', 'city', u'full', 'poi_airport']	0.000%	гостиницы во внуково москва	1
28	['city', 'country', u'full']	0.000%	египет шарм эль шейх	1
29	['acm_gost', 'city', u'full', 'poi_metro', 'poi_metro_station']	0.000%	гостиница метро беляево москва	1
30	['action_fly', 'city', u'full', 'how_many']	0.000%	сколько лететь с москвы до одессы	1
31	['acm_gost', 'city', u'full', 'map']	0.000%	карта гостиниц москвы	2
32	['acm_gost', 'city', u'full', 'poi_metro', 'price_cheap']	0.000%	гостинницы в москве недорогие у метро	1
33	['acm_gost', 'acm_gost_popular', 'city', 'econom_class', u'full', 'price', 'price_cheap']	0.000%	гостиницы санкт-петербурга эконом класса цены	1
34	['country', 'date_year', u'full', 'price', 'rest']	0.000%	греция отдых 2015 цены	1
35	['acm_hotel', 'city', u'full', 'time_season']	0.000%	отель весна адлер	1
36	['acm_minihotel', 'city', u'full']	0.000%	миниотели в перми	1
37	['acm_gost', 'city', 'date_year', u'full', 'price']	0.000%	гостиницы владимира цены 2015 года	1
38	['acm_hotel', 'country', u'full', 'price']	0.000%	таиланд отели цены	1
39	['acm_hotel', 'amn_spa', 'city', u'full']	0.000%	спа отель в москве	1
40	['agregator_ostrovok', u'full']	0.000%	островок	1
41	['acm_gost', 'city', 'contacts_site', u'full', 'photo']	0.000%	гостиница санкт-петербург в санкт-петербурге официальный сайт фото	2
42	['acm_hotel', 'city', 'contacts_site', u'full', 'price']	0.000%	отель севастополь в севастополе официальный сайт цены	1
43	['action_visit', u'full', 'poi_metro_station', 'wh_where_direction']	0.000%	куда сходить на вднх	1
44	['acm_hotel', 'city', u'full', 'map']	0.000%	отели лимассола на карте	1
45	['acm_hotel', 'city', u'full', 'poi_centre', 'price_cheap']	0.000%	отели в спб недорого в центре	1
46	['acm_gost', u'full']	0.000%	гостиница	1
47	['acm_gost', 'city', u'full', 'poi_metro']	0.000%	гостиницы по станциям метро москва	1
48	['acm_obj', 'amn_beach', 'city', u'full']	0.000%	пансионаты геленджика с собственным пляжем	1
49	['acm_hotel', u'full', 'poi_centre']	0.000%	отель в центре	1
50	['acm_hotel', 'agregator_ostrovok', 'country', u'full']	0.000%	островок отели в турции	1
51	['acm_hotel', 'arrangement', 'city', u'full']	0.000%	экскурсия и отели черновцы	1
52	['city', u'full', 'poi_private_sector', 'price_cheap']	0.000%	частный сектор недорого в адлере	1
53	['acm_hotel', 'acm_hotel_popular', 'city', u'full']	0.000%	отель ибис москва	1
54	['acm_gost', 'city', u'full', 'price', 'price_cheap']	0.000%	гостиница в химках недорого цены	1
55	['acm_hotel_popular', 'acm_obj_part', 'action2book', 'city', u'full', 'price']	0.000%	казань ривьера бронирование номеров цена	1
56	['acm_gost', 'acm_gost_popular', 'city', u'full']	0.000%	русь гостиница светлогорск	1
57	['acm_gost', 'acm_hotel', 'city', u'full']	0.000%	отели и гостиницы челябинска	1
58	['acm_hotel', 'acm_hotel_popular', 'action_perceive', u'full']	0.000%	отель калифорния слушать	1
59	['acm_hotel', 'city', u'full', 'rating']	0.000%	рейтинг отелей москвы	1
60	['acm_hotel', 'city', u'full', 'map', 'poi_centre']	0.000%	отели праги в центре на карте	1
61	['city', u'full', 'poi_centre']	0.000%	центр баку	1
62	['acm_hotel', 'acm_hotels_popular', 'city', u'full', 'map', 'poi_park']	0.000%	парк отель кисловодск на карте	1
63	['acm_gost', 'city', u'full', 'geo_oblast', 'poi_avenue', 'price_cheap']	0.000%	дешевые гостиницы в волжском волгоградской области	1
64	['acm_hotel', 'amn_basin', 'amn_spa', 'city', u'full']	0.000%	спа отель в петергофе с бассейном	1
65	['action_reach', u'full', 'poi_metro_station_spb', 'poi_station', 'wh_how']	0.000%	как добраться от обводного канала до ладожского вокзала	1
66	['acm_gost', 'city', u'full', 'poi_centre', 'price_cheap']	0.000%	гостиницы в центре москвы недорогие	1
67	['acm_gost', 'city', 'city_city', u'full', 'map', 'price_cheap']	0.000%	дешевые гостиницы нижнего новгорода на карте города	1
68	['city', u'full']	0.000%	сеул	1
69	['acm_obj_part', 'action2book', 'city', u'full', 'price_cheap']	0.000%	снять номер в москве недорого	1
70	['acm_gost', u'full', 'poi_metro_station']	0.000%	гостиница орехово	1
71	['acm_gost_popular', 'city', 'contacts_site', u'full']	0.000%	ялта интурист официальный сайт	1
72	['acm_hotel', 'city', 'city_city', u'full', 'poi_centre']	0.000%	отели новороссийска в центре города	1
73	['acm_gost', 'city', u'full', 'poi_centre']	0.000%	гостиницы в ярославле в центре	1
74	['city', u'full', 'map', 'poi_airport', 'poi_metro', 'poi_metro_station']	0.000%	карта москвы домодедово аэропорт метро	1
75	['acm_hotel', 'amn_basin', 'city', u'full']	0.000%	отели ессентуков с бассейном	1
76	['city', u'full', 'holiday']	0.000%	калининград на новый год	1
77	['acm_obj', 'city', u'full']	0.000%	пансионат магадан  анапа	1
78	['city', u'full', 'poi_centre', 'poi_tc']	0.000%	турин торговые центры	1
79	['acm_minigost', 'city', u'full']	0.000%	одесса минигостиницы	1
80	['acm_gost', 'amn_basin', 'city', 'city_city', u'full']	0.000%	гостиницы города астрахани с бассейном	1
81	['acm_gost', 'acm_hotel_popular', u'full', 'geo_oblast', 'poi_metro_station']	0.000%	гостиница марриотт тверская	1
82	['acm_gost', 'city', u'full', 'poi_station', 'space_near']	0.000%	гостиницы санкт-петербурга недалеко от московского вокзала	1
83	['acm_gost', 'city', 'city_city', u'full', 'map']	0.000%	гостиницы санкт-петербурга на карте города	2
84	['acm_hotel', 'city', u'full', 'price']	0.000%	отель в стамбуле цены	1
85	['acm_gost', u'full', 'poi_station']	0.000%	гостиница на московском вокзале	1
86	['action_visit', 'city', 'date_month', u'full', 'wh_where_direction']	0.000%	питер в ноябре куда сходить	1
87	['amn_restaurant', 'city', 'date_year', u'full', 'island', 'price']	0.000%	пхукет рестораны цены 2015	1
88	['acm_ghouse', 'city', u'full']	0.000%	гостевые дома в калининграде	1
89	['city', u'full', 'poi_airport', 'poi_station']	0.000%	домодедово ярославский вокзал	1
90	['acm_hotel', 'city', u'full', 'poi_airport']	0.000%	отель в домодедово	1
91	['acm_hotel', 'action2book', 'city', u'full', 'wh_how']	0.000%	как забронировать отель в дубае	1
92	['acm_hotel', 'city', u'full', 'price_cheap']	0.000%	недорогие отели москва	1
93	['acm_gost', u'full', 'poi_metro', 'poi_metro_station']	0.000%	гостиницы метро медведково	1
94	['acm_gost', 'acm_gost_popular', 'city', 'econom_class', u'full', 'price_cheap']	0.000%	гостиницы эконом класса в ессентуках	1
95	['acm_hotel', 'action2book', 'agregator_ostrovok', u'full']	0.000%	островок бронирование отелей	1
96	['acm_gost', 'city', u'full', 'poi_airport', 'poi_metro_station']	0.000%	гостиница в борисполе в аэропорту	1
97	['acm_gost', 'city', 'contacts_site', u'full', 'price']	0.000%	гостиница октябрьская санкт-петербург официальный сайт стоимость	1
98	['acm_hotel', 'acm_hotel_popular', 'acm_hotels_grand', 'city', u'full']	0.000%	марриотт гранд отель москва	1
99	['acm_hotel', 'city', 'country', u'full', 'stars_3']	0.000%	отели 3* таиланд паттайя	1
100	['acm_gost', 'city', u'full', 'poi_metro_station']	0.000%	гостиница свиблово москва	1
